,,taxon_name,ref_id,sh_id,rep,kingdom,phylum,class,order,family,genus,species,taxon_name_sh,primary_lifestyle,secondary_lifestyle,nematode_feeding,nematode_ecology,decay_type,growth_form,,,,
391,721,Mortierella_sp,UDB04884394,SH1204936.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1204936.09FU,soil_saprotroph,root-associated,,,roots,soil,filamentous_mycelium,,,
392,722,Mortierella_sp,UDB04850268,SH1213031.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1213031.09FU,soil_saprotroph,root-associated,,,roots,soil,filamentous_mycelium,,,
393,723,Mortierella_sp,UDB04612030,SH1216256.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1216256.09FU,soil_saprotroph,root-associated,,,roots,soil,filamentous_mycelium,,,
394,724,Mortierellales_sp,UDB04950611,SH1252051.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellales_fam_Incertae_sedis,Mortierellales_gen_Incertae_sedis,Mortierellales_sp,Mortierellales_sp_SH1252051.09FU,NA,NA,,,NA,NA,,,,
395,725,Mortierellales_sp,UDB0167613,SH1292758.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellales_fam_Incertae_sedis,Mortierellales_gen_Incertae_sedis,Mortierellales_sp,Mortierellales_sp_SH1292758.09FU,NA,NA,,,NA,NA,,,,
396,728,Metacordyceps_chlamydosporia,AY555965,SH1111254.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps_chlamydosporia,Metacordyceps_chlamydosporia_SH1111254.09FU,animal_decomposer,animal_decomposer,,,animal_material,filamentous_mycelium,,,,
397,729,Lobulomycetales_sp,UDB0509673,SH1066376.09FU,reps,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,Lobulomycetales_fam_Incertae_sedis,Lobulomycetales_gen_Incertae_sedis,Lobulomycetales_sp,Lobulomycetales_sp_SH1066376.09FU,NA,NA,,,NA,NA,,,,
398,730,Lobulomycetales_sp,UDB03107860,SH1066362.09FU,reps,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,Lobulomycetales_fam_Incertae_sedis,Lobulomycetales_gen_Incertae_sedis,Lobulomycetales_sp,Lobulomycetales_sp_SH1066362.09FU,NA,NA,,,NA,NA,,,,
399,731,Lobulomycetales_sp,UDB03106917,SH1211507.09FU,reps,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,Lobulomycetales_fam_Incertae_sedis,Lobulomycetales_gen_Incertae_sedis,Lobulomycetales_sp,Lobulomycetales_sp_SH1211507.09FU,NA,NA,,,NA,NA,,,,
400,732,Leotiomycetes_sp,UDB039990,SH1012501.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Leotiomycetes_ord_Incertae_sedis,Leotiomycetes_fam_Incertae_sedis,Leotiomycetes_gen_Incertae_sedis,Leotiomycetes_sp,Leotiomycetes_sp_SH1012501.09FU,NA,NA,,,NA,NA,,,,
401,733,Knufia_sp,UDB01833220,SH1070688.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia,Knufia_sp,Knufia_sp_SH1070688.09FU,soil_saprotroph,rock-inhabiting,,,leaf/fruit/seed,soil,animal_material,dimorphic_yeast,,
402,735,Junewangiaceae_sp,UDB02253363,SH0944567.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Junewangiaceae,Junewangiaceae_gen_Incertae_sedis,Junewangiaceae_sp,Junewangiaceae_sp_SH0944567.09FU,NA,NA,,,NA,NA,,,,
403,736,Idriella_sp,UDB03590816,SH1265374.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Idriella,Idriella_sp,Idriella_sp_SH1265374.09FU,litter_saprotroph,root_endophyte,,,leaf/fruit/seed,filamentous_mycelium,,,,
404,739,Hypocreales_sp,UDB0839286,SH0885468.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hypocreales_gen_Incertae_sedis,Hypocreales_sp,Hypocreales_sp_SH0885468.09FU,NA,NA,,,NA,NA,,,,
405,740,Hypocreales_sp,MW215666,SH1177238.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hypocreales_gen_Incertae_sedis,Hypocreales_sp,Hypocreales_sp_SH1177238.09FU,NA,NA,,,NA,NA,,,,
406,741,Humicola_sp,UDB03425985,SH0881656.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_sp,Humicola_sp_SH0881656.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
407,742,Humicola_distorta,LT993577,SH2145053.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_distorta,Humicola_distorta_SH2145053.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
408,747,Herpotrichiellaceae_sp,UDB03390112,SH0898725.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae_gen_Incertae_sedis,Herpotrichiellaceae_sp,Herpotrichiellaceae_sp_SH0898725.09FU,NA,NA,,,NA,NA,,,,
409,751,Glomeraceae_sp,UDB040666,SH0907869.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,Glomeraceae_sp_SH0907869.09FU,arbuscular_mycorrhizal,NA,,,NA,NA,,,,
410,752,Fusarium_tricinctum,MT185492,SH1079259.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_tricinctum,Fusarium_tricinctum_SH1079259.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
411,753,Fusarium_sp,KM216320,SH1079636.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp,Fusarium_sp_SH1079636.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
412,754,Fusarium_solani,KT899462,SH0937613.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_solani,Fusarium_solani_SH0937613.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
413,755,Fusarium_oxysporum,MZ868623,SH1060396.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum_SH1060396.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
414,756,Fusarium_oxysporum,MZ868618,SH0995084.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum_SH0995084.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
415,757,Fusarium_oxysporum,HQ696888,SH0995035.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum_SH0995035.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
416,758,Fusarium_nisikadoi,KR909390,SH1060236.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_nisikadoi,Fusarium_nisikadoi_SH1060236.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
417,759,Fusarium_kurunegalense,JF433036,SH1445045.09FU,refs_singleton,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_kurunegalense,Fusarium_kurunegalense_SH1445045.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
418,760,Furcasterigmium_furcatum,AY378154,SH1451597.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Furcasterigmium,Furcasterigmium_furcatum,Furcasterigmium_furcatum_SH1451597.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
419,761,Fungi_sp,UDB0750121,SH1238688.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1238688.09FU,NA,NA,,,NA,NA,,,,
420,762,Fungi_sp,UDB0746950,SH1172459.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1172459.09FU,NA,NA,,,NA,NA,,,,
421,763,Fungi_sp,UDB0503976,SH1294149.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1294149.09FU,NA,NA,,,NA,NA,,,,
422,764,Fungi_sp,UDB02176749,SH1013975.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1013975.09FU,NA,NA,,,NA,NA,,,,
423,765,Fungi_sp,UDB02172807,SH1205516.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1205516.09FU,NA,NA,,,NA,NA,,,,
424,766,Fungi_sp,UDB02170246,SH1223833.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1223833.09FU,NA,NA,,,NA,NA,,,,
425,767,Fungi_sp,UDB02167779,SH1143980.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1143980.09FU,NA,NA,,,NA,NA,,,,
426,768,Fungi_sp,UDB02148090,SH1013985.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1013985.09FU,NA,NA,,,NA,NA,,,,
427,769,Fungi_sp,UDB02105792,SH1329741.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1329741.09FU,NA,NA,,,NA,NA,,,,
428,770,Fungi_sp,UDB02103658,SH1212831.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1212831.09FU,NA,NA,,,NA,NA,,,,
429,771,Fungi_sp,UDB02101772,SH1127951.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1127951.09FU,NA,NA,,,NA,NA,,,,
430,772,Fungi_sp,UDB01821158,SH1187487.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1187487.09FU,NA,NA,,,NA,NA,,,,
431,773,Fungi_sp,JX364761,SH1110958.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1110958.09FU,NA,NA,,,NA,NA,,,,
432,774,Fungi_sp,JX347283,SH1004399.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1004399.09FU,NA,NA,,,NA,NA,,,,
433,775,Flagelloscypha_sp,UDB02047405,SH1167130.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Flagelloscypha,Flagelloscypha_sp,Flagelloscypha_sp_SH1167130.09FU,litter_saprotroph,NA,,,leaf/fruit/seed,filamentous_mycelium,,,,
434,776,Flagelloscypha_sp,UDB02047322,SH1167132.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Flagelloscypha,Flagelloscypha_sp,Flagelloscypha_sp_SH1167132.09FU,litter_saprotroph,NA,,,leaf/fruit/seed,filamentous_mycelium,,,,
435,778,Exophiala_salmonis,AM176667,SH1072526.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_salmonis,Exophiala_salmonis_SH1072526.09FU,litter_saprotroph,litter_saprotroph,,,leaf/fruit/seed,animal_material,dimorphic_yeast,,,
436,779,Exophiala_opportunistica,KF928437,SH1266651.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_opportunistica,Exophiala_opportunistica_SH1266651.09FU,litter_saprotroph,litter_saprotroph,,,leaf/fruit/seed,animal_material,dimorphic_yeast,,,
437,780,Exophiala_brunnea,JF747062,SH1266741.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_brunnea,Exophiala_brunnea_SH1266741.09FU,litter_saprotroph,litter_saprotroph,,,leaf/fruit/seed,animal_material,dimorphic_yeast,,,
438,848,Epicoccum_italicum,KY742099,SH2739910.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum_italicum,Epicoccum_italicum_SH2739910.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,filamentous_mycelium,,,,
439,849,Entoloma_sp,UDB05331450,SH1119422.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_sp,Entoloma_sp_SH1119422.09FU,soil_saprotroph,unspecified_symbiotroph,,,roots,soil,filamentous_mycelium,,,
440,850,Entoloma_sp,UDB05327755,SH1260567.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_sp,Entoloma_sp_SH1260567.09FU,soil_saprotroph,unspecified_symbiotroph,,,roots,soil,filamentous_mycelium,,,
441,851,Enterocarpus_grenotii,MH861153,SH0936422.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Enterocarpus,Enterocarpus_grenotii,Enterocarpus_grenotii_SH0936422.09FU,dung_saprotroph,animal_decomposer,,,dung,animal_material,filamentous_mycelium,,,
442,852,Endogonomycetes_sp,MW215811,SH1101996.09FU,reps,Fungi,Mucoromycota,Endogonomycetes,Endogonomycetes_ord_Incertae_sedis,Endogonomycetes_fam_Incertae_sedis,Endogonomycetes_gen_Incertae_sedis,Endogonomycetes_sp,Endogonomycetes_sp_SH1101996.09FU,NA,NA,,,NA,NA,,,,
443,854,Dothideomycetes_sp,UDB06390800,SH0889078.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Dothideomycetes_fam_Incertae_sedis,Dothideomycetes_gen_Incertae_sedis,Dothideomycetes_sp,Dothideomycetes_sp_SH0889078.09FU,NA,NA,,,NA,NA,,,,
444,858,Didymella_glomerata,UDB099723,SH1189336.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella_glomerata,Didymella_glomerata_SH1189336.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
445,859,Dichotomopilus_pratensis,GU563372,SH0881501.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Dichotomopilus,Dichotomopilus_pratensis,Dichotomopilus_pratensis_SH0881501.09FU,unspecified_saprotroph,NA,,,NA,filamentous_mycelium,,,,
446,860,Curvularia_canadensis,MN688804,SH1224288.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_canadensis,Curvularia_canadensis_SH1224288.09FU,plant_pathogen,litter_saprotroph,,,wood,leaf/fruit/seed,roots,algal_material,filamentous_mycelium,
447,861,Cunninghamella_elegans,AF254928,SH1185449.09FU,refs,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Cunninghamella,Cunninghamella_elegans,Cunninghamella_elegans_SH1185449.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
448,862,Cryptococcus_neoformans,FJ534879,SH0984077.09FU,refs,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus_neoformans,Cryptococcus_neoformans_SH0984077.09FU,unspecified_saprotroph,foliar_endophyte,,,leaf/fruit/seed,soil,dung,animal_material,yeast,
449,864,Coprinopsis_asiaticiphlyctidospora,AB818904,SH1204476.09FU,refs,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_asiaticiphlyctidospora,Coprinopsis_asiaticiphlyctidospora_SH1204476.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
450,865,Conlarium_sp,UDB04130483,SH0953344.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Atractosporales,Conlariaceae,Conlarium,Conlarium_sp,Conlarium_sp_SH0953344.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
451,866,Conlarium_sp,UDB04127499,SH0953341.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Atractosporales,Conlariaceae,Conlarium,Conlarium_sp,Conlarium_sp_SH0953341.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
452,867,Coniochaetaceae_sp,HE820830,SH1057324.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaetaceae_gen_Incertae_sedis,Coniochaetaceae_sp,Coniochaetaceae_sp_SH1057324.09FU,NA,NA,,,NA,NA,,,,
453,872,Clonostachys_swieteniae,MT215573,SH3170755.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_swieteniae,Clonostachys_swieteniae_SH3170755.09FU,wood_saprotroph,plant_pathogen,,,wood,leaf/fruit/seed,fungal_material,animal_material,filamentous_mycelium,
454,873,Clonostachys_sp,UDB03922102,SH1077246.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_sp,Clonostachys_sp_SH1077246.09FU,wood_saprotroph,plant_pathogen,,,wood,leaf/fruit/seed,fungal_material,animal_material,filamentous_mycelium,
455,874,Cladochytriales_sp,UDB02677966,SH1119949.09FU,reps,Fungi,Chytridiomycota,Cladochytriomycetes,Cladochytriales,Cladochytriales_fam_Incertae_sedis,Cladochytriales_gen_Incertae_sedis,Cladochytriales_sp,Cladochytriales_sp_SH1119949.09FU,NA,NA,,,NA,NA,,,,
456,875,Cirrenalia_sp,UDB03252165,SH0898695.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Cirrenalia,Cirrenalia_sp,Cirrenalia_sp_SH0898695.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
457,886,Chytridiomycota_sp,UDB02305407,SH1292439.09FU,reps,Fungi,Chytridiomycota,Chytridiomycota_cls_Incertae_sedis,Chytridiomycota_ord_Incertae_sedis,Chytridiomycota_fam_Incertae_sedis,Chytridiomycota_gen_Incertae_sedis,Chytridiomycota_sp,Chytridiomycota_sp_SH1292439.09FU,NA,NA,,,NA,NA,,,,
458,887,Chytridiomycota_sp,UDB02254300,SH1108232.09FU,reps,Fungi,Chytridiomycota,Chytridiomycota_cls_Incertae_sedis,Chytridiomycota_ord_Incertae_sedis,Chytridiomycota_fam_Incertae_sedis,Chytridiomycota_gen_Incertae_sedis,Chytridiomycota_sp,Chytridiomycota_sp_SH1108232.09FU,NA,NA,,,NA,NA,,,,
459,891,Chaetosphaeria_sp,UDB01759845,SH0979742.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,Chaetosphaeria_sp,Chaetosphaeria_sp_SH0979742.09FU,litter_saprotroph,wood_saprotroph,,,wood,leaf/fruit/seed,filamentous_mycelium,,,
460,892,Chaetosphaeria_sp,UDB01751436,SH0979824.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,Chaetosphaeria_sp,Chaetosphaeria_sp_SH0979824.09FU,litter_saprotroph,wood_saprotroph,,,wood,leaf/fruit/seed,filamentous_mycelium,,,
461,934,Candida_albicans,MF767825,SH0987548.09FU,reps,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_albicans,Candida_albicans_SH0987548.09FU,nectar/tap_saprotroph,NA,,,sugar-rich_substrates,yeast,,,,
462,935,Calvatia_fragilis,AJ486957,SH1464228.09FU,refs,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Calvatia,Calvatia_fragilis,Calvatia_fragilis_SH1464228.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
463,936,Botryoderma_lateritium,MK919287,SH0881534.09FU,reps,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Botryoderma,Botryoderma_lateritium,Botryoderma_lateritium_SH0881534.09FU,unspecified_saprotroph,NA,,,NA,filamentous_mycelium,,,,
464,937,Betamyces_sp,UDB01509828,SH0903505.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Alphamycetaceae,Betamyces,Betamyces_sp,Betamyces_sp_SH0903505.09FU,pollen_saprotroph,NA,,,pollen,zoosporic-rhizomycelial_(chytrid-like),,,,
465,938,Basidiomycota_sp,UDB0579430,SH1167664.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1167664.09FU,NA,NA,,,NA,NA,,,,
466,939,Basidiomycota_sp,UDB01503998,SH1178212.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1178212.09FU,NA,NA,,,NA,NA,,,,
467,940,Basidiomycota_sp,UDB01502950,SH1197902.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1197902.09FU,NA,NA,,,NA,NA,,,,
468,941,Basidiomycota_sp,UDB01502941,SH1197903.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1197903.09FU,NA,NA,,,NA,NA,,,,
469,942,Basidiomycota_sp,UDB01502393,SH1116179.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1116179.09FU,NA,NA,,,NA,NA,,,,
470,943,Basidiomycota_sp,UDB01500186,SH1118189.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1118189.09FU,NA,NA,,,NA,NA,,,,
471,944,Aspergillus_viridinutans,EF669978,SH1935488.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_viridinutans,Aspergillus_viridinutans_SH1935488.09FU,unspecified_saprotroph,foliar_endophyte,,,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
472,945,Aspergillus_pseudodeflectus,EF591743,SH2499822.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_pseudodeflectus,Aspergillus_pseudodeflectus_SH2499822.09FU,unspecified_saprotroph,foliar_endophyte,,,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
473,946,Aspergillus_chlamydosporus,UDB0189303,SH1067484.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_chlamydosporus,Aspergillus_chlamydosporus_SH1067484.09FU,unspecified_saprotroph,foliar_endophyte,,,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
474,947,Ascomycota_sp,UDB01402146,SH0962135.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH0962135.09FU,NA,NA,,,NA,NA,,,,
475,948,Ascomycota_sp,UDB01401000,SH1037965.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1037965.09FU,NA,NA,,,NA,NA,,,,
476,949,Ascomycota_sp,UDB01394183,SH0954487.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH0954487.09FU,NA,NA,,,NA,NA,,,,
